"OID","Country or Area","Year","Description","Magnitude","Value"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2009","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","112473000000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2009","SUBSIDIES","AFGHANIS","297863"
"512c27..BA...","AFGHANISTAN, I.R. OF","2009","SOCIAL BENEFITS","AFGHANIS","5571880000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2009","PURCHASES OF GOODS & SERVICES","AFGHANIS","25229700000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2009","OTHER PAYMENTS","AFGHANIS","315370000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2009","INTEREST","AFGHANIS","103937000"
"512c26..BA...","AFGHANISTAN, I.R. OF","2009","GRANTS","AFGHANIS","77766000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2009","COMPENSATION OF EMPLOYEES","AFGHANIS","54471100000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2009","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","85770000000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2008","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","109768000000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2008","SUBSIDIES","AFGHANIS","4450000"
"512c27..BA...","AFGHANISTAN, I.R. OF","2008","SOCIAL BENEFITS","AFGHANIS","3812310000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2008","PURCHASES OF GOODS & SERVICES","AFGHANIS","30298700000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2008","OTHER PAYMENTS","AFGHANIS","673574000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2008","INTEREST","AFGHANIS","103089000"
"512c26..BA...","AFGHANISTAN, I.R. OF","2008","GRANTS","AFGHANIS","385128000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2008","COMPENSATION OF EMPLOYEES","AFGHANIS","47381300000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2008","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","82658500000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2007","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","98588400000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2007","SUBSIDIES","AFGHANIS","700000"
"512c27..BA...","AFGHANISTAN, I.R. OF","2007","SOCIAL BENEFITS","AFGHANIS","3243770000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2007","PURCHASES OF GOODS & SERVICES","AFGHANIS","28379400000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2007","OTHER PAYMENTS","AFGHANIS","18920000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2007","INTEREST","AFGHANIS","106723000"
"512c26..BA...","AFGHANISTAN, I.R. OF","2007","GRANTS","AFGHANIS","413296000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2007","COMPENSATION OF EMPLOYEES","AFGHANIS","33137800000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2007","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","65300700000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2006","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","77888700000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2006","SUBSIDIES","AFGHANIS","8000000"
"512c27..BA...","AFGHANISTAN, I.R. OF","2006","SOCIAL BENEFITS","AFGHANIS","2676980000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2006","PURCHASES OF GOODS & SERVICES","AFGHANIS","24779500000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2006","OTHER PAYMENTS","AFGHANIS","61894000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2006","INTEREST","AFGHANIS","169353000"
"512c26..BA...","AFGHANISTAN, I.R. OF","2006","GRANTS","AFGHANIS","3185570000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2006","COMPENSATION OF EMPLOYEES","AFGHANIS","26262700000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2006","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","57144000000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2005","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","52001700000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2005","SUBSIDIES","AFGHANIS","8640000"
"512c27..BA...","AFGHANISTAN, I.R. OF","2005","SOCIAL BENEFITS","AFGHANIS","1935230000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2005","PURCHASES OF GOODS & SERVICES","AFGHANIS","19707500000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2005","OTHER PAYMENTS","AFGHANIS","982963000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2005","INTEREST","AFGHANIS","149941000"
"512c26..BA...","AFGHANISTAN, I.R. OF","2005","GRANTS","AFGHANIS","63247900"
"512c21..BA...","AFGHANISTAN, I.R. OF","2005","COMPENSATION OF EMPLOYEES","AFGHANIS","20502800000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2005","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","43350300000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2004","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","45236900000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2004","SUBSIDIES","AFGHANIS","47687300"
"512c27..BA...","AFGHANISTAN, I.R. OF","2004","SOCIAL BENEFITS","AFGHANIS","1365650000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2004","PURCHASES OF GOODS & SERVICES","AFGHANIS","22221900000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2004","OTHER PAYMENTS","AFGHANIS","573900000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2004","INTEREST","AFGHANIS","97925700"
"512c26..BA...","AFGHANISTAN, I.R. OF","2004","GRANTS","AFGHANIS","343905000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2004","COMPENSATION OF EMPLOYEES","AFGHANIS","15260300000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2004","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","39911300000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2003","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","30547600000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2003","SUBSIDIES","AFGHANIS","181122000"
"512c27..BA...","AFGHANISTAN, I.R. OF","2003","SOCIAL BENEFITS","AFGHANIS","686496000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2003","PURCHASES OF GOODS & SERVICES","AFGHANIS","10921700000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2003","OTHER PAYMENTS","AFGHANIS","38654900"
"512c24..BA...","AFGHANISTAN, I.R. OF","2003","INTEREST","AFGHANIS","42105600"
"512c26..BA...","AFGHANISTAN, I.R. OF","2003","GRANTS","AFGHANIS","768188000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2003","COMPENSATION OF EMPLOYEES","AFGHANIS","11728900000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2003","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","24367200000"
"914c2M..GG...","ALBANIA","2008","TOTAL CASH EXPENDITURE [2+31]","LEKS","351445000000"
"914c25..GG...","ALBANIA","2008","SUBSIDIES","LEKS","2637940000"
"914c27..GG...","ALBANIA","2008","SOCIAL BENEFITS","LEKS","16749600000"
"914c22..GG...","ALBANIA","2008","PURCHASES OF GOODS & SERVICES","LEKS","32900300000"
"914c24..GG...","ALBANIA","2008","INTEREST","LEKS","31340400000"
"914c21..GG...","ALBANIA","2008","COMPENSATION OF EMPLOYEES","LEKS","76666700000"
"914c2...GG...","ALBANIA","2008","CASH PAYMENTS FOR OPERATING ACTIVITI","LEKS","248273000000"
"914c2M..GG...","ALBANIA","2007","TOTAL CASH EXPENDITURE [2+31]","LEKS","285594000000"
"914c25..GG...","ALBANIA","2007","SUBSIDIES","LEKS","3631490000"
"914c27..GG...","ALBANIA","2007","SOCIAL BENEFITS","LEKS","14360100000"
"914c22..GG...","ALBANIA","2007","PURCHASES OF GOODS & SERVICES","LEKS","29098300000"
"914c24..GG...","ALBANIA","2007","INTEREST","LEKS","25594400000"
"914c21..GG...","ALBANIA","2007","COMPENSATION OF EMPLOYEES","LEKS","67509600000"
"914c2...GG...","ALBANIA","2007","CASH PAYMENTS FOR OPERATING ACTIVITI","LEKS","222061000000"
"914c2M..GG...","ALBANIA","2006","TOTAL CASH EXPENDITURE [2+31]","LEKS","258667000000"
"914c25..GG...","ALBANIA","2006","SUBSIDIES","LEKS","3928950000"
"914c27..GG...","ALBANIA","2006","SOCIAL BENEFITS","LEKS","13775000000"
"914c22..GG...","ALBANIA","2006","PURCHASES OF GOODS & SERVICES","LEKS","25968700000"
"914c28..GG...","ALBANIA","2006","OTHER PAYMENTS","LEKS","65567000000"
"914c24..GG...","ALBANIA","2006","INTEREST","LEKS","25005600000"
"914c26..GG...","ALBANIA","2006","GRANTS","LEKS","146354000"
"914c21..GG...","ALBANIA","2006","COMPENSATION OF EMPLOYEES","LEKS","64474700000"
"914c2...GG...","ALBANIA","2006","CASH PAYMENTS FOR OPERATING ACTIVITI","LEKS","198866000000"
"914c2M..GG...","ALBANIA","2005","TOTAL CASH EXPENDITURE [2+31]","LEKS","232061000000"
"914c25..GG...","ALBANIA","2005","SUBSIDIES","LEKS","3739350000"
"914c27..GG...","ALBANIA","2005","SOCIAL BENEFITS","LEKS","10218300000"
"914c22..GG...","ALBANIA","2005","PURCHASES OF GOODS & SERVICES","LEKS","26576000000"
"914c28..GG...","ALBANIA","2005","OTHER PAYMENTS","LEKS","59114900000"
"914c24..GG...","ALBANIA","2005","INTEREST","LEKS","26028900000"
"914c26..GG...","ALBANIA","2005","GRANTS","LEKS","127033000"
"914c21..GG...","ALBANIA","2005","COMPENSATION OF EMPLOYEES","LEKS","61018200000"
"914c2...GG...","ALBANIA","2005","CASH PAYMENTS FOR OPERATING ACTIVITI","LEKS","186823000000"
"612c2M..BA...","ALGERIA","2007","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","3182680000000"
"612c25..BA...","ALGERIA","2007","SUBSIDIES","ALGERIAN DINARS","629000000"
"612c27..BA...","ALGERIA","2007","SOCIAL BENEFITS","ALGERIAN DINARS","290842000000"
"612c22..BA...","ALGERIA","2007","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","93826000000"
"612c28..BA...","ALGERIA","2007","OTHER PAYMENTS","ALGERIAN DINARS","512934000000"
"612c24..BA...","ALGERIA","2007","INTEREST","ALGERIAN DINARS","80497000000"
"612c26..BA...","ALGERIA","2007","GRANTS","ALGERIAN DINARS","273023000000"
"612c21..BA...","ALGERIA","2007","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","492695000000"
"612c2...BA...","ALGERIA","2007","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","1744450000000"
"612c2M..BA...","ALGERIA","2006","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","2492150000000"
"612c25..BA...","ALGERIA","2006","SUBSIDIES","ALGERIAN DINARS","598000000"
"612c27..BA...","ALGERIA","2006","SOCIAL BENEFITS","ALGERIAN DINARS","250673000000"
"612c22..BA...","ALGERIA","2006","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","95718000000"
"612c28..BA...","ALGERIA","2006","OTHER PAYMENTS","ALGERIAN DINARS","428615000000"
"612c24..BA...","ALGERIA","2006","INTEREST","ALGERIAN DINARS","68552000000"
"612c26..BA...","ALGERIA","2006","GRANTS","ALGERIAN DINARS","215525000000"
"612c21..BA...","ALGERIA","2006","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","417326000000"
"612c2...BA...","ALGERIA","2006","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","1477010000000"
"612c2M..BA...","ALGERIA","2005","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","2099810000000"
"612c25..BA...","ALGERIA","2005","SUBSIDIES","ALGERIAN DINARS","804000000"
"612c27..BA...","ALGERIA","2005","SOCIAL BENEFITS","ALGERIAN DINARS","225537000000"
"612c22..BA...","ALGERIA","2005","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","76034000000"
"612c28..BA...","ALGERIA","2005","OTHER PAYMENTS","ALGERIAN DINARS","316416000000"
"612c24..BA...","ALGERIA","2005","INTEREST","ALGERIAN DINARS","101232000000"
"612c26..BA...","ALGERIA","2005","GRANTS","ALGERIAN DINARS","187499000000"
"612c21..BA...","ALGERIA","2005","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","385380000000"
"612c2...BA...","ALGERIA","2005","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","1292900000000"
"612c2M..BA...","ALGERIA","2004","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","1926040000000"
"612c25..BA...","ALGERIA","2004","SUBSIDIES","ALGERIAN DINARS","948000000"
"612c27..BA...","ALGERIA","2004","SOCIAL BENEFITS","ALGERIAN DINARS","212205000000"
"612c22..BA...","ALGERIA","2004","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","71670000000"
"612c28..BA...","ALGERIA","2004","OTHER PAYMENTS","ALGERIAN DINARS","302032000000"
"612c24..BA...","ALGERIA","2004","INTEREST","ALGERIAN DINARS","143470000000"
"612c26..BA...","ALGERIA","2004","GRANTS","ALGERIAN DINARS","176481000000"
"612c21..BA...","ALGERIA","2004","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","378515000000"
"612c2...BA...","ALGERIA","2004","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","1285320000000"
"612c2M..BA...","ALGERIA","2003","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","1711480000000"
"612c25..BA...","ALGERIA","2003","SUBSIDIES","ALGERIAN DINARS","1680000000"
"612c27..BA...","ALGERIA","2003","SOCIAL BENEFITS","ALGERIAN DINARS","180684000000"
"612c22..BA...","ALGERIA","2003","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","58769000000"
"612c28..BA...","ALGERIA","2003","OTHER PAYMENTS","ALGERIAN DINARS","306166000000"
"612c24..BA...","ALGERIA","2003","INTEREST","ALGERIAN DINARS","113971000000"
"612c26..BA...","ALGERIA","2003","GRANTS","ALGERIAN DINARS","161398000000"
"612c21..BA...","ALGERIA","2003","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","321398000000"
"612c2...BA...","ALGERIA","2003","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","1144070000000"
"612c2M..BA...","ALGERIA","2002","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","1550600000000"
"612c25..BA...","ALGERIA","2002","SUBSIDIES","ALGERIAN DINARS","0"
"612c27..BA...","ALGERIA","2002","SOCIAL BENEFITS","ALGERIAN DINARS","408200000000"
"612c22..BA...","ALGERIA","2002","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","68500000000"
"612c28..BA...","ALGERIA","2002","OTHER PAYMENTS","ALGERIAN DINARS","0"
"612c24..BA...","ALGERIA","2002","INTEREST","ALGERIAN DINARS","137200000000"
"612c26..BA...","ALGERIA","2002","GRANTS","ALGERIAN DINARS","137600000000"
"612c21..BA...","ALGERIA","2002","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","346200000000"
"612c2...BA...","ALGERIA","2002","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","1097700000000"
"612c2M..BA...","ALGERIA","2001","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","1321000000000"
"612c25..BA...","ALGERIA","2001","SUBSIDIES","ALGERIAN DINARS","0"
"612c27..BA...","ALGERIA","2001","SOCIAL BENEFITS","ALGERIAN DINARS","331200000000"
"612c22..BA...","ALGERIA","2001","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","46300000000"
"612c28..BA...","ALGERIA","2001","OTHER PAYMENTS","ALGERIAN DINARS","0"
"612c24..BA...","ALGERIA","2001","INTEREST","ALGERIAN DINARS","147500000000"
"612c26..BA...","ALGERIA","2001","GRANTS","ALGERIAN DINARS","114600000000"
"612c21..BA...","ALGERIA","2001","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","324000000000"
"612c2...BA...","ALGERIA","2001","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","963600000000"
"612c2M..BA...","ALGERIA","2000","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","1178120000000"
"612c25..BA...","ALGERIA","2000","SUBSIDIES","ALGERIAN DINARS","0"
"612c27..BA...","ALGERIA","2000","SOCIAL BENEFITS","ALGERIAN DINARS","257701000000"
"612c22..BA...","ALGERIA","2000","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","54605000000"
"612c28..BA...","ALGERIA","2000","OTHER PAYMENTS","ALGERIAN DINARS","0"
"612c24..BA...","ALGERIA","2000","INTEREST","ALGERIAN DINARS","162251000000"
"612c26..BA...","ALGERIA","2000","GRANTS","ALGERIAN DINARS","92042000000"
"612c21..BA...","ALGERIA","2000","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","289594000000"
"612c2...BA...","ALGERIA","2000","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","856193000000"
"612c2M..BA...","ALGERIA","1999","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","961682000000"
"612c25..BA...","ALGERIA","1999","SUBSIDIES","ALGERIAN DINARS","0"
"612c27..BA...","ALGERIA","1999","SOCIAL BENEFITS","ALGERIAN DINARS","226718000000"
"612c22..BA...","ALGERIA","1999","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","53568000000"
"612c28..BA...","ALGERIA","1999","OTHER PAYMENTS","ALGERIAN DINARS","0"
"612c24..BA...","ALGERIA","1999","INTEREST","ALGERIAN DINARS","126432000000"
"612c26..BA...","ALGERIA","1999","GRANTS","ALGERIAN DINARS","81862000000"
"612c21..BA...","ALGERIA","1999","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","286115000000"
"612c2...BA...","ALGERIA","1999","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","774695000000"
"612c2M..BA...","ALGERIA","1998","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","875739000000"
"612c25..BA...","ALGERIA","1998","SUBSIDIES","ALGERIAN DINARS","0"
"612c27..BA...","ALGERIA","1998","SOCIAL BENEFITS","ALGERIAN DINARS","161822000000"
"612c22..BA...","ALGERIA","1998","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","47460000000"
"612c28..BA...","ALGERIA","1998","OTHER PAYMENTS","ALGERIAN DINARS","0"
"612c24..BA...","ALGERIA","1998","INTEREST","ALGERIAN DINARS","110793000000"
"612c26..BA...","ALGERIA","1998","GRANTS","ALGERIAN DINARS","75187000000"
"612c21..BA...","ALGERIA","1998","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","268593000000"
"612c2...BA...","ALGERIA","1998","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","663855000000"
"612c2M..BA...","ALGERIA","1997","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","863196000000"
"612c25..BA...","ALGERIA","1997","SUBSIDIES","ALGERIAN DINARS","0"
"612c27..BA...","ALGERIA","1997","SOCIAL BENEFITS","ALGERIAN DINARS","171461000000"
"612c22..BA...","ALGERIA","1997","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","43555000000"
"612c28..BA...","ALGERIA","1997","OTHER PAYMENTS","ALGERIAN DINARS","18000000000"
"612c24..BA...","ALGERIA","1997","INTEREST","ALGERIAN DINARS","109381000000"
"612c26..BA...","ALGERIA","1997","GRANTS","ALGERIAN DINARS","73991000000"
"612c21..BA...","ALGERIA","1997","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","245167000000"
"612c2...BA...","ALGERIA","1997","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","661555000000"
"612c2M..BA...","ALGERIA","1996","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","749009000000"
"612c25..BA...","ALGERIA","1996","SUBSIDIES","ALGERIAN DINARS","0"
"612c27..BA...","ALGERIA","1996","SOCIAL BENEFITS","ALGERIAN DINARS","134302000000"
"612c22..BA...","ALGERIA","1996","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","34676000000"
"612c28..BA...","ALGERIA","1996","OTHER PAYMENTS","ALGERIAN DINARS","24400000000"
"612c24..BA...","ALGERIA","1996","INTEREST","ALGERIAN DINARS","88959000000"
"612c26..BA...","ALGERIA","1996","GRANTS","ALGERIAN DINARS","69900000000"
"612c21..BA...","ALGERIA","1996","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","222759000000"
"612c2...BA...","ALGERIA","1996","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","574996000000"
"612c2M..BA...","ALGERIA","1995","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","625965000000"
"612c25..BA...","ALGERIA","1995","SUBSIDIES","ALGERIAN DINARS","0"
"612c27..BA...","ALGERIA","1995","SOCIAL BENEFITS","ALGERIAN DINARS","109850000000"
"612c22..BA...","ALGERIA","1995","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","29386000000"
"612c28..BA...","ALGERIA","1995","OTHER PAYMENTS","ALGERIAN DINARS","36880000000"
"612c24..BA...","ALGERIA","1995","INTEREST","ALGERIAN DINARS","62202000000"
"612c26..BA...","ALGERIA","1995","GRANTS","ALGERIAN DINARS","55441000000"
"612c21..BA...","ALGERIA","1995","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","187546000000"
"612c2...BA...","ALGERIA","1995","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","481305000000"
"612c2M..BA...","ALGERIA","1994","TOTAL CASH EXPENDITURE [2+31]","ALGERIAN DINARS","493626000000"
"612c25..BA...","ALGERIA","1994","SUBSIDIES","ALGERIAN DINARS","0"
"612c27..BA...","ALGERIA","1994","SOCIAL BENEFITS","ALGERIAN DINARS","91369000000"
"612c22..BA...","ALGERIA","1994","PURCHASES OF GOODS & SERVICES","ALGERIAN DINARS","18206000000"
"612c28..BA...","ALGERIA","1994","OTHER PAYMENTS","ALGERIAN DINARS","31731000000"
"612c24..BA...","ALGERIA","1994","INTEREST","ALGERIAN DINARS","41088000000"
"612c26..BA...","ALGERIA","1994","GRANTS","ALGERIAN DINARS","42342000000"
"612c21..BA...","ALGERIA","1994","COMPENSATION OF EMPLOYEES","ALGERIAN DINARS","151718000000"
"612c2...BA...","ALGERIA","1994","CASH PAYMENTS FOR OPERATING ACTIVITI","ALGERIAN DINARS","376454000000"
"213c2...CG...","ARGENTINA","2004","CASH PAYMENTS FOR OPERATING ACTIVITI","ARGENTINE PESOS","64477600000"
"213c2...CG...","ARGENTINA","2003","CASH PAYMENTS FOR OPERATING ACTIVITI","ARGENTINE PESOS","56809000000"
"213c2...CG...","ARGENTINA","2002","CASH PAYMENTS FOR OPERATING ACTIVITI","ARGENTINE PESOS","45809500000"
"213c2...CG...","ARGENTINA","2001","CASH PAYMENTS FOR OPERATING ACTIVITI","ARGENTINE PESOS","48008300000"
"213c2...CG...","ARGENTINA","2000","CASH PAYMENTS FOR OPERATING ACTIVITI","ARGENTINE PESOS","49255500000"
"213c2...CG...","ARGENTINA","1999","CASH PAYMENTS FOR OPERATING ACTIVITI","ARGENTINE PESOS","49257900000"
"213c2...CG...","ARGENTINA","1998","CASH PAYMENTS FOR OPERATING ACTIVITI","ARGENTINE PESOS","47069400000"
"213c2...CG...","ARGENTINA","1997","CASH PAYMENTS FOR OPERATING ACTIVITI","ARGENTINE PESOS","46301400000"
"213c2...CG...","ARGENTINA","1996","CASH PAYMENTS FOR OPERATING ACTIVITI","ARGENTINE PESOS","40734600000"
"911c2M..CG...","ARMENIA","2008","TOTAL CASH EXPENDITURE [2+31]","DRAMS","822816000000"
"911c25..CG...","ARMENIA","2008","SUBSIDIES","DRAMS","76640700000"
"911c27..CG...","ARMENIA","2008","SOCIAL BENEFITS","DRAMS","207937000000"
"911c22..CG...","ARMENIA","2008","PURCHASES OF GOODS & SERVICES","DRAMS","89639400000"
"911c28..CG...","ARMENIA","2008","OTHER PAYMENTS","DRAMS","129144000000"
"911c24..CG...","ARMENIA","2008","INTEREST","DRAMS","11053800000"
"911c26..CG...","ARMENIA","2008","GRANTS","DRAMS","70325600000"
"911c21..CG...","ARMENIA","2008","COMPENSATION OF EMPLOYEES","DRAMS","141757000000"
"911c2...CG...","ARMENIA","2008","CASH PAYMENTS FOR OPERATING ACTIVITI","DRAMS","726497000000"
"911c2M..CG...","ARMENIA","2007","TOTAL CASH EXPENDITURE [2+31]","DRAMS","685824000000"
"911c25..CG...","ARMENIA","2007","SUBSIDIES","DRAMS","11165700000"
"911c27..CG...","ARMENIA","2007","SOCIAL BENEFITS","DRAMS","131777000000"
"911c22..CG...","ARMENIA","2007","PURCHASES OF GOODS & SERVICES","DRAMS","190399000000"
"911c28..CG...","ARMENIA","2007","OTHER PAYMENTS","DRAMS","27620000000"
"911c24..CG...","ARMENIA","2007","INTEREST","DRAMS","9956770000"
"911c26..CG...","ARMENIA","2007","GRANTS","DRAMS","20065000000"
"911c21..CG...","ARMENIA","2007","COMPENSATION OF EMPLOYEES","DRAMS","115331000000"
"911c2...CG...","ARMENIA","2007","CASH PAYMENTS FOR OPERATING ACTIVITI","DRAMS","506314000000"
"911c2M..CG...","ARMENIA","2006","TOTAL CASH EXPENDITURE [2+31]","DRAMS","522838000000"
"911c25..CG...","ARMENIA","2006","SUBSIDIES","DRAMS","11334100000"
"911c27..CG...","ARMENIA","2006","SOCIAL BENEFITS","DRAMS","115071000000"
"911c22..CG...","ARMENIA","2006","PURCHASES OF GOODS & SERVICES","DRAMS","158389000000"
"911c28..CG...","ARMENIA","2006","OTHER PAYMENTS","DRAMS","24480800000"
"911c24..CG...","ARMENIA","2006","INTEREST","DRAMS","9024650000"
"911c26..CG...","ARMENIA","2006","GRANTS","DRAMS","14010000000"
"911c21..CG...","ARMENIA","2006","COMPENSATION OF EMPLOYEES","DRAMS","97007000000"
"911c2...CG...","ARMENIA","2006","CASH PAYMENTS FOR OPERATING ACTIVITI","DRAMS","429316000000"
"911c2M..CG...","ARMENIA","2005","TOTAL CASH EXPENDITURE [2+31]","DRAMS","455161000000"
"911c25..CG...","ARMENIA","2005","SUBSIDIES","DRAMS","9865890000"
"911c27..CG...","ARMENIA","2005","SOCIAL BENEFITS","DRAMS","99807300000"
"911c22..CG...","ARMENIA","2005","PURCHASES OF GOODS & SERVICES","DRAMS","162057000000"
"911c28..CG...","ARMENIA","2005","OTHER PAYMENTS","DRAMS","14964500000"
"911c24..CG...","ARMENIA","2005","INTEREST","DRAMS","9933180000"
"911c26..CG...","ARMENIA","2005","GRANTS","DRAMS","11618200000"
"911c21..CG...","ARMENIA","2005","COMPENSATION OF EMPLOYEES","DRAMS","83259700000"
"911c2...CG...","ARMENIA","2005","CASH PAYMENTS FOR OPERATING ACTIVITI","DRAMS","391505000000"
"911c2M..CG...","ARMENIA","2004","TOTAL CASH EXPENDITURE [2+31]","DRAMS","314337000000"
"911c25..CG...","ARMENIA","2004","SUBSIDIES","DRAMS","18073700000"
"911c27..CG...","ARMENIA","2004","SOCIAL BENEFITS","DRAMS","19111500000"
"911c22..CG...","ARMENIA","2004","PURCHASES OF GOODS & SERVICES","DRAMS","160517000000"
